contributor_zip,estimate,total
1520,43098,4.5
1540,23454,3.75
2021,24258,4.5
3835,32750,27
6001,23190,2.5
8619,26250,7.5
15478,21411,35
18020,36016,2.5
19806,28179,10
19808,28179,6
20001,23627,10000
20001,40046,10000
20015,23627,250
20015,40046,250
21144,17219,11.25
22974,17089,4.5
24013,21901,0.25
24153,29817,3.75
24354,20810,9
27006,47848,5665
27012,39580,726.25
27013,28029,2005
27016,14196,240
27021,33750,385
27023,35512,600
27025,23631,30
27027,19462,5
27028,22028,3775
27051,30886,1083.5
27055,25390,2400
27201,47000,7.5
27202,33167,7600
27203,23676,1300
27205,23676,6955
27205,27057,7.5
27215,26497,4090.25
27217,26497,1510.38
27239,22889,840
27243,34604,800
27249,33913,1585
27252,20809,8.75
27253,24258,450
27263,30158,645
27278,41164,3463.25
27282,41639,14921
27284,33404,709
27288,22982,385
27292,20680,5
27295,20680,2550
27302,34139,1275
27312,29964,9069.5
27317,27057,250
27320,21658,3280
27325,17159,600
27330,26455,5895
27332,26455,1435
27355,24375,1085
27356,18026,1500
27357,40844,100
27358,45837,5025
27360,25151,2900
27370,28054,250
27371,17089,7025
27374,26672,5800
27379,14093,125
27401,28591,20465
27403,28591,410
27404,28591,200
27405,28591,1725
27406,28591,2408.75
27407,28591,4536.25
27408,28591,27832
27409,28591,2086.25
27410,28591,35993.85
27455,28591,13527.5
27501,27490,2825
27502,54132,7939.5
27504,25132,600
27511,51883,8680
27513,51883,7563
27518,51883,580
27519,51883,5255
27520,33292,2543.5
27521,22403,300
27523,54132,925
27525,21496,300
27526,37393,600
27527,33292,4868
27529,37393,1495
27529,38363,17738.5
27530,22147,4380
27534,22147,3475
27536,20583,210
27539,54132,1860
27542,20266,10
27545,40986,250
27546,19878,2330
27549,13845,2825
27551,30750,2500
27559,20443,350
27560,56940,816
27565,23454,1370
27571,56882,900
27572,26634,225
27574,18106,280
27576,17163,260
27577,21411,2217.5
27581,46350,1
27596,30821,300
27601,37393,1300
27603,37393,1790
27604,37393,3093.81
27605,37393,700
27606,37393,7030
27607,37393,1395
27608,37393,62500
27609,37393,63735
27610,37393,1276.25
27612,37393,7567
27613,37393,10569.25
27614,37393,12578
27615,37393,17315
27616,37393,6142.5
27617,37393,413.57
27619,37393,2700
27627,37393,550
27701,35164,3265
27703,35164,1011
27704,35164,353.75
27705,35164,3753.25
27707,35164,12523
27712,35164,1272
27713,35164,13360
27808,26389,2150
27810,21027,1270
27812,21042,4000
27817,25799,2225
27830,28750,250
27833,23068,250
27834,23068,8705
27835,23068,30005
27836,23068,300
27837,22316,5
27839,31510,650
27850,17583,1800
27855,26222,200
27856,32183,959
27858,23068,29388.25
27860,NA,1000
27871,23472,225
27883,27361,220
27886,24960,1297.5
27889,23627,3472.5
27889,40046,3472.5
27891,21541,580
27892,25796,2550
27893,22062,250
27893,23164,250
27896,22062,5525
27896,23164,5525
27915,23190,400
27921,32359,618.75
27932,22428,2500
27944,24079,1850
27954,31268,6550
27958,48817,450
27962,14023,900
27968,29932,265
27970,18809,120
27981,30940,2900
28001,26387,4250
28012,37201,5067
28021,28263,2201.25
28025,34831,7761.25
28026,34831,500
28027,27819,800
28027,34831,3137.5
28031,45659,9329
28032,39835,1750
28034,25104,650
28036,41475,730
28037,24106,1749
28054,27616,2509
28056,27616,4433.75
28078,48380,6945.22
28081,27819,10
28083,27819,1875
28090,20000,350
28092,25140,2309
28097,30857,388
28103,15521,3375
28104,41008,1635
28104,60423,350
28105,41008,1833.75
28107,37718,750
28110,26893,3525
28111,26893,10000
28112,26893,13012.5
28114,28750,600
28115,35533,880
28117,35533,6882
28128,20559,1150
28129,32311,15
28134,31339,15000
28139,25852,651
28144,24194,700
28146,24194,850
28147,24194,250
28150,22806,3856
28151,22806,360
28160,18763,100
28163,36712,2500
28164,26843,1167.5
28166,30490,325
28173,44073,42670.75
28202,35445,15250
28203,35445,1233
28205,35445,5
28207,35445,45886
28208,35445,150
28209,35445,3655
28210,35445,34204.75
28211,35445,16278
28212,35445,102
28213,35445,3678.75
28214,35445,1375
28215,35445,570
28216,35445,635
28217,35445,10318.28
28226,35445,30223
28262,35445,1101
28269,35445,4160
28270,35445,3545
28273,35445,50100
28277,35445,28341
28278,35445,6630
28301,26985,500
28303,26985,12330
28304,26985,4035
28305,26985,3653.75
28306,26985,1568.75
28311,26985,2751.5
28312,26985,3750
28314,26985,1080
28315,32655,5950
28323,28818,300
28326,21346,2681.5
28327,23793,2881.25
28328,21589,7628
28329,21589,2500
28334,21890,1096
28337,15519,250
28339,22260,150
28340,19306,205
28349,24714,16320
28352,20557,1450
28353,20557,250
28356,30469,45
28358,21621,11175
28370,43109,26.25
28371,28438,18
28374,43109,43332
28376,18325,1361.25
28379,23841,10
28382,22500,8
28385,29917,6950
28386,11748,15
28394,33056,1450
28395,24265,600
28398,21716,2500
28401,28179,640
28402,28179,250
28403,28179,16111.25
28405,28179,17453.75
28406,28179,3150
28409,28179,16497.5
28411,28179,27600.39
28412,28179,4980
28422,25170,833.75
28425,14172,1010
28443,32318,6509.32
28451,37894,4560
28461,30071,5362
28466,23498,3125
28467,21170,15
28470,30667,590
28472,20722,1325
28501,20883,733.75
28504,20883,4900
28510,25263,2850
28513,29365,550
28516,23403,10402
28529,35625,1050
28530,19589,60
28532,25555,1400
28538,20813,550
28540,24543,9428.7
28546,24543,10243
28570,22799,830
28571,30774,4475
28574,30095,4625.9
28584,23750,400
28584,38709,6742
28590,41973,400
28601,27356,36580
28602,27356,1695
28603,27356,6252.5
28607,6864,2305.5
28613,28523,263
28621,21621,100
28625,25395,9550.25
28636,18214,1200
28638,21250,850
28640,19063,250
28643,18333,250
28645,23266,586.25
28650,36015,1050
28655,22470,2255
28658,26346,478.75
28658,33250,478.75
28675,19409,500
28677,25395,200
28680,22470,1300
28681,19205,2650
28687,25395,1000
28690,23523,415
28712,22744,10655
28714,22009,3073.5
28716,24258,1810
28717,42083,2000
28719,21683,400
28721,23345,200
28732,35588,10350
28734,24315,700
28739,26286,4425
28741,32273,1730
28744,24315,200
28752,20810,1110
28771,14491,300
28772,25670,375
28778,19152,1126.8
28779,22692,1087.5
28782,27646,294
28785,25231,409
28786,25231,6700
28787,34129,258.5
28791,26286,111.25
28792,26286,1600.95
28793,26286,4700
28801,29465,500
28803,29465,5868
28804,29465,100
28805,29465,27.5
28806,29465,1030
28904,14007,5555
28906,20056,4249.66
29039,25517,20.5
29206,17025,500
29209,17025,900
29605,23068,2000
29607,23068,200
29626,32675,10
29661,20000,20000
29697,25796,5
30067,20000,1000
30215,20000,1.25
31204,30750,10
31216,30750,11.25
32202,24543,2.5
32207,24543,1000
32223,24543,4600
32257,24543,12
33860,29144,14.25
37064,24315,1.25
37130,26222,1.25
37206,32183,8.75
37215,32183,11.25
37221,32183,11.25
40511,20680,8.75
43302,20810,400
44622,18125,7.5
44706,24258,15
48187,24258,750
50129,19063,25
54016,21250,600
65203,17025,2477.25
65233,32806,22.5
65717,20559,16.5
68901,30071,10000
71067,30043,400
72531,26155,31.5
74020,28029,74
75067,35512,11.25
75219,25104,30279.6
75225,25104,10500
75287,25104,10
76691,20707,0.25
76691,24676,0.25
76691,26577,0.25
77386,17261,3.75
77386,27095,3.75
79701,37718,11655.880000000001
80202,24106,595
80247,24106,6
83501,23051,5
84414,37534,94.5
92335,NA,10
92337,NA,15
94521,34831,7.5
94536,28750,3.75
